"","Year","State","Label","Population.16.years.and.over","In.labor.force","Employed","Unemployed","Armed.Forces","Not.in.labor.force","Unemployment.Rate","Females.16.years.and.over","Females.in.Labor.Force","Females.Employed","Agriculture..forestry..fishing.and.hunting..and.mining","Construction","Manufacturing","Wholesale.trade","Retail.trade","Transportation.and.warehousing..and.utilities","Information","Finance.and.insurance..and.real.estate.and.rental.and.leasing","Professional..scientific..and.management..and.administrative.and.waste.management.services","Educational.services..and.health.care.and.social.assistance","Arts..entertainment..and.recreation..and.accommodation.and.food.services","Other.services..except.public.administration","Public.administration","Total.households","Less.than..10.000","X.10.000.to..14.999","X.15.000.to..24.999","X.25.000.to..34.999","X.35.000.to..49.999","X.50.000.to..74.999","X.75.000.to..99.999","X.100.000.to..149.999","X.150.000.to..199.999","X.200.000.or.more","Median.household.income..dollars.","Mean.household.income..dollars.","Enrollment","Above.Or.Below.US.Mean.Income","total_enrollment"
"68",2010,"New Mexico","Estimate","1,605,996","967,128","868,276","90,942","7,910","638,868",NA,"819,035","451,809","411,374","32,546","65,003","41,001","17,164","104,820","37,624","15,541","36,470","93,837","214,071","91,875","40,361","77,963","765,183","74,028","50,851","104,991","93,197","113,097","132,321","80,819","74,936","23,620","17,323","42,090",57655,162552,"Below",21003513
"69",2010,"Pennsylvania","Percent","10,273,564","63.0%","56.9%","6.0%","0.1%","37.0%",9.6,"5,326,204","58.1%","53.1%","1.3%","5.8%","12.2%","2.8%","11.8%","5.1%","1.8%","6.4%","9.5%","26.1%","8.2%","4.7%","4.2%","4,936,030","7.6%","6.0%","11.7%","11.1%","14.1%","18.8%","12.0%","11.4%","3.8%","3.4%","(X)",NA,804640,"",21003513
"70",2010,"Pennsylvania","Estimate","10,273,564","6,470,008","5,842,790","620,700","6,518","3,803,556",NA,"5,326,204","3,096,344","2,828,506","78,462","339,007","714,137","166,422","689,555","296,880","105,315","372,922","556,189","1,525,278","479,177","271,836","247,610","4,936,030","374,479","298,360","578,999","547,713","695,698","929,066","590,446","563,870","189,901","167,498","49,288",65878,804640,"Below",21003513
"71",2010,"Missouri","Percent","4,746,821","64.4%","57.6%","6.4%","0.5%","35.6%",10,"2,452,581","60.5%","55.2%","1.7%","5.9%","11.3%","2.9%","12.1%","5.1%","2.3%","7.0%","8.8%","24.2%","9.1%","4.7%","4.9%","2,350,628","8.5%","6.5%","12.8%","11.8%","15.5%","18.6%","11.1%","10.0%","2.7%","2.5%","(X)",NA,444750,"",21003513
"72",2010,"Missouri","Estimate","4,746,821","3,059,239","2,733,876","302,270","23,093","1,687,582",NA,"2,452,581","1,484,793","1,353,698","47,689","161,710","309,768","78,608","330,191","139,157","64,091","190,905","240,638","660,567","248,691","129,080","132,781","2,350,628","198,773","153,514","301,253","277,413","363,710","437,371","260,738","235,283","63,833","58,740","44,301",59525,444750,"Below",21003513
"73",2010,"New York","Percent","15,615,773","63.5%","57.1%","6.2%","0.2%","36.5%",9.9,"8,160,137","58.5%","53.1%","0.6%","5.6%","6.7%","2.6%","10.7%","5.2%","2.9%","8.3%","11.0%","27.6%","8.7%","5.2%","4.9%","7,196,427","8.2%","5.4%","10.5%","9.4%","12.8%","17.1%","11.8%","13.4%","5.5%","5.9%","(X)",NA,1305151,"",21003513
"74",2010,"New York","Estimate","15,615,773","9,912,749","8,913,640","974,802","24,307","5,703,024",NA,"8,160,137","4,777,005","4,337,081","57,713","502,090","600,607","233,847","957,810","459,582","255,604","738,131","977,046","2,457,616","771,535","465,602","436,457","7,196,427","590,397","386,574","758,223","676,051","918,960","1,231,711","848,756","966,812","395,091","423,852","54,148",78726,1305151,"Above",21003513
"75",2010,"Rhode Island","Percent","858,137","64.6%","57.2%","7.0%","0.4%","35.4%",10.9,"450,911","61.2%","55.3%","0.3%","4.9%","11.6%","2.7%","12.8%","3.5%","1.8%","7.1%","9.4%","26.0%","11.0%","4.1%","4.9%","402,295","8.5%","5.8%","11.0%","9.7%","12.6%","18.3%","12.8%","12.7%","4.8%","3.9%","(X)",NA,85110,"",21003513
"76",2010,"Rhode Island","Estimate","858,137","554,225","490,964","60,050","3,211","303,912",NA,"450,911","276,024","249,571","1,266","24,242","56,778","13,193","62,794","17,232","8,616","34,819","46,298","127,846","53,762","20,103","24,015","402,295","34,057","23,290","44,095","38,932","50,863","73,453","51,647","51,221","19,132","15,605","52,254",69840,85110,"Above",21003513
"77",2010,"Montana","Estimate","794,804","509,081","467,674","38,000","3,407","285,723",NA,"397,132","239,647","225,739","33,141","37,818","20,699","12,266","55,184","24,503","8,638","26,254","37,760","110,281","50,139","20,671","30,320","402,747","27,753","28,179","56,201","52,408","64,375","74,320","47,058","35,895","9,312","7,246","42,666",56266,53282,"Below",21003513
"78",2010,"Montana","Percent","794,804","64.1%","58.8%","4.8%","0.4%","35.9%",7.5,"397,132","60.3%","56.8%","7.1%","8.1%","4.4%","2.6%","11.8%","5.2%","1.8%","5.6%","8.1%","23.6%","10.7%","4.4%","6.5%","402,747","6.9%","7.0%","14.0%","13.0%","16.0%","18.5%","11.7%","8.9%","2.3%","1.8%","(X)",NA,53282,"",21003513
"79",2010,"North Carolina","Percent","7,526,813","64.0%","54.9%","8.0%","1.2%","36.0%",12.7,"3,914,320","58.6%","51.3%","1.4%","6.9%","12.4%","3.0%","12.0%","4.2%","1.7%","6.4%","9.5%","23.4%","9.2%","5.0%","4.9%","3,670,859","9.0%","6.9%","12.6%","12.1%","15.6%","18.4%","10.8%","9.0%","2.9%","2.7%","(X)",NA,585792,"",21003513
"80",2010,"North Carolina","Estimate","7,526,813","4,814,286","4,128,576","598,546","87,164","2,712,527",NA,"3,914,320","2,295,578","2,009,257","56,702","282,976","512,182","125,061","494,942","175,365","69,718","262,272","392,478","966,668","381,825","207,905","200,482","3,670,859","329,158","253,856","462,594","444,564","574,202","674,989","396,069","332,045","105,589","97,793","43,326",59053,585792,"Below",21003513
"81",2010,"South Carolina","Estimate","3,675,309","2,275,141","1,955,035","286,053","34,053","1,400,168",NA,"1,909,541","1,099,607","960,071","21,139","134,301","256,325","54,216","242,013","90,874","33,392","114,777","181,572","437,403","193,191","92,571","103,261","1,761,393","169,979","123,016","245,336","208,618","266,596","320,427","188,967","156,388","44,342","37,724","42,018",56365,257064,"Below",21003513
"82",2010,"South Carolina","Percent","3,675,309","61.9%","53.2%","7.8%","0.9%","38.1%",12.8,"1,909,541","57.6%","50.3%","1.1%","6.9%","13.1%","2.8%","12.4%","4.6%","1.7%","5.9%","9.3%","22.4%","9.9%","4.7%","5.3%","1,761,393","9.7%","7.0%","13.9%","11.8%","15.1%","18.2%","10.7%","8.9%","2.5%","2.1%","(X)",NA,257064,"",21003513
"83",2010,"Washington","Percent","5,342,873","65.3%","57.5%","6.9%","0.9%","34.7%",10.8,"2,703,960","59.8%","53.8%","2.7%","6.1%","10.6%","3.1%","11.8%","4.9%","2.2%","5.7%","11.9%","21.7%","8.6%","4.9%","5.8%","2,606,863","6.6%","4.5%","10.0%","9.9%","13.9%","19.5%","13.5%","13.6%","4.7%","3.8%","(X)",NA,388116,"",21003513
"84",2010,"Washington","Estimate","5,342,873","3,489,044","3,070,269","370,226","48,549","1,853,829",NA,"2,703,960","1,617,309","1,454,622","81,390","188,012","326,181","94,602","363,049","151,294","68,135","173,666","366,473","664,754","264,266","150,139","178,308","2,606,863","170,751","117,568","259,963","259,214","362,172","508,550","351,147","355,519","123,679","98,300","55,631",71739,388116,"Above",21003513
"85",2010,"Vermont","Percent","513,553","68.4%","62.8%","5.5%","0.1%","31.6%",8.1,"263,422","64.9%","60.1%","2.7%","6.8%","10.4%","2.1%","12.2%","3.0%","1.6%","4.7%","9.1%","27.6%","10.1%","4.7%","5.0%","256,922","7.1%","6.2%","11.7%","10.9%","14.6%","19.9%","12.8%","10.6%","3.5%","2.8%","(X)",NA,45572,"",21003513
"86",2010,"Texas","Percent","19,123,208","65.2%","58.9%","5.7%","0.5%","34.8%",8.8,"9,727,271","58.7%","53.4%","2.9%","8.0%","9.3%","2.9%","11.5%","5.5%","1.9%","6.6%","10.8%","21.8%","8.6%","5.3%","4.8%","8,738,664","7.8%","5.9%","11.8%","11.2%","14.4%","18.2%","11.4%","11.5%","4.0%","3.8%","(X)",NA,1535864,"",21003513
"87",2010,"South Dakota","Percent","637,449","68.9%","64.2%","4.1%","0.6%","31.1%",6,"320,682","64.6%","61.1%","7.1%","5.9%","9.5%","2.6%","11.3%","4.2%","1.6%","7.8%","6.2%","24.9%","9.5%","4.1%","5.3%","318,955","7.9%","6.2%","11.6%","13.1%","15.0%","19.9%","12.3%","9.8%","2.1%","2.3%","(X)",NA,58360,"",21003513
"88",2010,"South Dakota","Estimate","637,449","438,977","409,194","26,258","3,525","198,472",NA,"320,682","207,104","195,990","29,152","24,034","38,871","10,714","46,123","17,276","6,460","31,922","25,346","101,900","39,071","16,769","21,556","318,955","25,155","19,928","36,969","41,648","47,771","63,352","39,233","31,115","6,587","7,197","45,904",59391,58360,"Below",21003513
"89",2010,"West Virginia","Estimate","1,513,633","822,345","746,844","73,223","2,278","691,288",NA,"775,198","383,633","355,700","40,019","49,407","57,522","14,903","92,759","40,937","13,297","30,219","57,248","205,103","66,691","33,326","45,413","741,940","76,841","60,109","114,005","93,909","114,129","129,608","75,342","55,693","11,837","10,467","38,218",50574,152431,"Below",21003513
"90",2010,"West Virginia","Percent","1,513,633","54.3%","49.3%","4.8%","0.2%","45.7%",8.9,"775,198","49.5%","45.9%","5.4%","6.6%","7.7%","2.0%","12.4%","5.5%","1.8%","4.0%","7.7%","27.5%","8.9%","4.5%","6.1%","741,940","10.4%","8.1%","15.4%","12.7%","15.4%","17.5%","10.2%","7.5%","1.6%","1.4%","(X)",NA,152431,"",21003513
"91",2010,"Virginia","Estimate","6,385,834","4,256,506","3,814,199","327,706","114,601","2,129,328",NA,"3,282,720","2,029,658","1,863,277","43,462","250,997","294,075","78,185","412,990","148,999","84,089","247,653","552,907","804,003","325,747","198,882","372,210","2,992,732","178,033","131,303","273,394","272,184","395,692","532,552","376,770","448,808","194,200","189,796","60,674",81608,577922,"Above",21003513
"92",2010,"Utah","Estimate","1,987,748","1,359,360","1,229,064","126,342","3,954","628,388",NA,"996,631","599,593","544,296","25,032","79,000","133,863","37,119","155,516","54,960","26,629","79,502","134,288","271,997","103,731","55,755","71,672","880,025","46,234","38,578","90,153","87,758","134,012","194,256","120,799","114,508","28,720","25,007","54,744",68176,255653,"Above",21003513
"93",2010,"Tennessee","Estimate","5,025,830","3,094,338","2,734,829","346,693","12,816","1,931,492",NA,"2,610,788","1,473,480","1,317,232","30,024","186,124","341,051","77,615","336,366","165,000","54,271","156,129","251,081","630,837","243,994","133,456","128,881","2,440,663","230,207","179,881","325,916","303,519","378,370","443,178","247,578","209,150","60,928","61,936","41,461",56835,351762,"Below",21003513
"94",2010,"Tennessee","Percent","5,025,830","61.6%","54.4%","6.9%","0.3%","38.4%",11.3,"2,610,788","56.4%","50.5%","1.1%","6.8%","12.5%","2.8%","12.3%","6.0%","2.0%","5.7%","9.2%","23.1%","8.9%","4.9%","4.7%","2,440,663","9.4%","7.4%","13.4%","12.4%","15.5%","18.2%","10.1%","8.6%","2.5%","2.5%","(X)",NA,351762,"",21003513
"95",2010,"Wisconsin","Percent","4,511,968","68.3%","62.2%","6.1%","0.1%","31.7%",8.9,"2,289,835","64.7%","59.8%","2.5%","5.4%","17.9%","2.9%","11.6%","4.4%","1.7%","6.1%","7.9%","23.0%","9.1%","4.0%","3.6%","2,279,532","6.3%","5.8%","12.1%","11.5%","15.2%","20.0%","12.8%","11.0%","2.9%","2.4%","(X)",NA,384181,"",21003513
"96",2010,"Wisconsin","Estimate","4,511,968","3,083,811","2,805,102","275,359","3,350","1,428,157",NA,"2,289,835","1,481,585","1,368,280","70,599","150,622","501,176","80,592","324,308","124,762","47,418","169,750","222,953","645,576","254,082","111,412","101,852","2,279,532","143,642","131,222","275,041","261,412","347,038","456,952","292,914","251,263","66,454","53,594","49,001",62376,384181,"Below",21003513
"97",2010,"Wyoming","Estimate","442,306","302,113","280,614","18,779","2,720","140,193",NA,"217,295","135,071","126,578","33,228","22,103","13,954","5,483","32,354","16,631","3,878","10,732","18,227","65,643","25,932","12,522","19,927","222,803","13,398","12,528","22,550","22,559","31,146","46,739","30,512","29,263","8,436","5,672","53,512",66710,38298,"Above",21003513
"98",2010,"Wyoming","Percent","442,306","68.3%","63.4%","4.2%","0.6%","31.7%",6.3,"217,295","62.2%","58.3%","11.8%","7.9%","5.0%","2.0%","11.5%","5.9%","1.4%","3.8%","6.5%","23.4%","9.2%","4.5%","7.1%","222,803","6.0%","5.6%","10.1%","10.1%","14.0%","21.0%","13.7%","13.1%","3.8%","2.5%","(X)",NA,38298,"",21003513
"99",2010,"Vermont","Estimate","513,553","351,332","322,432","28,397","503","162,221",NA,"263,422","171,089","158,224","8,753","21,830","33,484","6,865","39,223","9,795","5,145","15,303","29,406","89,040","32,562","15,054","15,972","256,922","18,357","15,868","30,049","27,897","37,511","51,005","32,931","27,304","8,898","7,102","49,406",63768,45572,"Below",21003513
"100",2010,"Texas","Estimate","19,123,208","12,465,332","11,271,851","1,091,761","101,720","6,657,876",NA,"9,727,271","5,706,071","5,195,474","327,887","898,282","1,052,942","329,452","1,301,633","615,306","212,821","747,962","1,211,727","2,459,381","974,282","601,945","538,231","8,738,664","680,357","518,071","1,028,161","976,781","1,258,450","1,589,401","999,301","1,003,440","352,139","332,563","48,615",66756,1535864,"Above",21003513
"101",2010,"Virginia","Percent","6,385,834","66.7%","59.7%","5.1%","1.8%","33.3%",7.9,"3,282,720","61.8%","56.8%","1.1%","6.6%","7.7%","2.0%","10.8%","3.9%","2.2%","6.5%","14.5%","21.1%","8.5%","5.2%","9.8%","2,992,732","5.9%","4.4%","9.1%","9.1%","13.2%","17.8%","12.6%","15.0%","6.5%","6.3%","(X)",NA,577922,"",21003513
"102",2010,"Utah","Percent","1,987,748","68.4%","61.8%","6.4%","0.2%","31.6%",9.3,"996,631","60.2%","54.6%","2.0%","6.4%","10.9%","3.0%","12.7%","4.5%","2.2%","6.5%","10.9%","22.1%","8.4%","4.5%","5.8%","880,025","5.3%","4.4%","10.2%","10.0%","15.2%","22.1%","13.7%","13.0%","3.3%","2.8%","(X)",NA,255653,"",21003513
"103",2014,"Georgia","Estimate","7,497,805","4,813,577","4,165,453","600,029","48,095","2,684,228",NA,"3,889,417","2,295,935","2,010,878","46,340","282,356","437,159","131,820","504,313","244,713","107,884","257,925","457,005","887,000","365,136","208,073","235,729","3,482,420","318,738","210,861","424,718","397,201","493,955","634,331","385,731","373,231","130,060","113,594","46,430",62967,530711,"Below",19973392
"104",2014,"District of Columbia","Estimate","515,434","344,327","299,127","42,368","2,832","171,107",NA,"274,696","174,816","154,332","174","8,866","3,113","2,717","15,923","11,159","11,748","15,640","66,452","55,973","26,169","26,834","54,359","252,388","26,272","13,898","20,467","19,415","26,462","39,682","29,131","33,049","17,910","26,102","60,903",92959,93972,"Above",19973392
"105",2014,"Florida","Estimate","15,327,982","9,258,330","7,974,945","1,228,640","54,745","6,069,652",NA,"7,914,279","4,439,662","3,880,760","98,374","523,252","436,096","233,815","1,078,715","409,105","159,668","610,230","965,113","1,703,492","919,010","439,963","398,112","7,035,068","587,347","442,863","889,272","859,410","1,107,501","1,284,928","750,571","678,016","215,741","219,419","44,409",61877,1083570,"Below",19973392
"106",2014,"Delaware","Estimate","716,786","456,070","411,120","42,086","2,864","260,716",NA,"374,282","227,137","207,060","4,717","28,511","37,031","8,912","49,424","18,639","6,709","46,429","35,889","97,105","35,646","17,425","24,683","328,765","19,765","15,596","33,161","31,450","45,717","64,472","43,486","47,145","16,198","11,775","55,847",72550,60392,"Above",19973392
"107",2014,"California","Estimate","29,159,527","18,759,274","16,243,172","2,382,343","133,759","10,400,253",NA,"14,776,460","8,564,985","7,496,959","382,329","962,730","1,622,500","531,266","1,817,972","753,237","455,625","1,044,890","2,022,483","3,408,105","1,558,901","870,073","813,061","12,406,475","741,864","664,711","1,262,798","1,156,808","1,614,158","2,168,573","1,530,962","1,769,884","752,779","743,938","57,708",79465,2687410,"Above",19973392
"108",2014,"California","Percent","29,159,527","64.3%","55.7%","8.2%","0.5%","35.7%",12.8,"14,776,460","58.0%","50.7%","2.4%","5.9%","10.0%","3.3%","11.2%","4.6%","2.8%","6.4%","12.5%","21.0%","9.6%","5.4%","5.0%","12,406,475","6.0%","5.4%","10.2%","9.3%","13.0%","17.5%","12.3%","14.3%","6.1%","6.0%","(X)",NA,2687410,"",19973392
"109",2014,"Hawaii","Percent","1,093,645","66.6%","58.4%","5.1%","3.1%","33.4%",8.1,"548,508","61.9%","56.8%","1.6%","7.7%","2.9%","2.5%","11.4%","5.9%","1.6%","6.9%","9.4%","21.6%","15.5%","4.5%","8.7%","445,812","6.2%","3.8%","8.5%","8.1%","12.8%","18.4%","14.4%","16.9%","5.7%","5.2%","(X)",NA,69332,"",19973392
"110",2014,"Hawaii","Estimate","1,093,645","728,635","638,191","56,254","34,190","365,010",NA,"548,508","339,666","311,282","10,376","49,281","18,381","15,778","72,645","37,484","10,038","43,817","59,938","137,547","98,752","28,662","55,492","445,812","27,586","16,950","37,839","36,101","57,262","82,056","64,328","75,207","25,426","23,057","63,030",79560,69332,"Above",19973392
"111",2014,"Florida","Percent","15,327,982","60.4%","52.0%","8.0%","0.4%","39.6%",13.3,"7,914,279","56.1%","49.0%","1.2%","6.6%","5.5%","2.9%","13.5%","5.1%","2.0%","7.7%","12.1%","21.4%","11.5%","5.5%","5.0%","7,035,068","8.3%","6.3%","12.6%","12.2%","15.7%","18.3%","10.7%","9.6%","3.1%","3.1%","(X)",NA,1083570,"",19973392
"112",2014,"Delaware","Percent","716,786","63.6%","57.4%","5.9%","0.4%","36.4%",9.3,"374,282","60.7%","55.3%","1.1%","6.9%","9.0%","2.2%","12.0%","4.5%","1.6%","11.3%","8.7%","23.6%","8.7%","4.2%","6.0%","328,765","6.0%","4.7%","10.1%","9.6%","13.9%","19.6%","13.2%","14.3%","4.9%","3.6%","(X)",NA,60392,"",19973392
"113",2014,"Colorado","Percent","3,955,676","69.4%","61.9%","6.8%","0.8%","30.6%",9.9,"1,986,146","63.7%","57.8%","2.2%","7.6%","7.4%","2.6%","11.4%","4.5%","3.0%","7.2%","13.1%","20.4%","10.7%","5.0%","5.0%","1,960,585","6.8%","5.1%","10.3%","10.1%","14.0%","18.4%","12.7%","13.6%","4.8%","4.3%","(X)",NA,348159,"",19973392
"114",2014,"Colorado","Estimate","3,955,676","2,744,831","2,446,674","267,550","30,607","1,210,845",NA,"1,986,146","1,264,492","1,148,690","53,908","185,523","181,103","64,802","278,935","109,478","73,306","175,310","319,360","498,607","260,676","122,114","123,552","1,960,585","133,792","99,108","202,054","197,978","273,976","361,637","248,333","266,341","93,692","83,674","54,046",72423,348159,"Above",19973392
"115",2014,"Idaho","Percent","1,187,623","64.0%","57.4%","6.4%","0.2%","36.0%",10,"596,958","58.4%","53.3%","5.4%","6.8%","10.0%","2.8%","12.6%","4.8%","1.7%","5.8%","10.4%","21.6%","8.7%","4.1%","5.3%","576,709","7.8%","6.7%","12.2%","13.2%","16.0%","20.6%","11.2%","8.1%","2.3%","1.8%","(X)",NA,121109,"",19973392
"116",2014,"Idaho","Estimate","1,187,623","760,329","681,907","75,683","2,739","427,294",NA,"596,958","348,356","318,107","36,718","46,467","68,179","18,972","85,922","32,757","11,788","39,436","70,696","147,288","59,425","27,816","36,443","576,709","45,201","38,641","70,614","76,310","92,467","118,585","64,661","46,609","13,297","10,324","43,490",56086,121109,"Below",19973392
"117",2014,"Georgia","Percent","7,497,805","64.2%","55.6%","8.0%","0.6%","35.8%",12.6,"3,889,417","59.0%","51.7%","1.1%","6.8%","10.5%","3.2%","12.1%","5.9%","2.6%","6.2%","11.0%","21.3%","8.8%","5.0%","5.7%","3,482,420","9.2%","6.1%","12.2%","11.4%","14.2%","18.2%","11.1%","10.7%","3.7%","3.3%","(X)",NA,530711,"",19973392
"118",2014,"District of Columbia","Percent","515,434","66.8%","58.0%","8.2%","0.5%","33.2%",12.4,"274,696","63.6%","56.2%","0.1%","3.0%","1.0%","0.9%","5.3%","3.7%","3.9%","5.2%","22.2%","18.7%","8.7%","9.0%","18.2%","252,388","10.4%","5.5%","8.1%","7.7%","10.5%","15.7%","11.5%","13.1%","7.1%","10.3%","(X)",NA,93972,"",19973392
"119",2014,"Connecticut","Estimate","2,862,777","1,947,838","1,736,446","203,513","7,879","914,939",NA,"1,489,675","940,444","846,485","7,443","95,217","188,493","43,580","187,540","64,696","43,094","156,695","193,794","454,976","150,893","82,017","68,008","1,358,809","79,205","59,768","122,071","111,137","167,997","230,952","180,261","212,185","91,520","103,713","64,032",90074,199666,"Above",19973392
"120",2014,"Connecticut","Percent","2,862,777","68.0%","60.7%","7.1%","0.3%","32.0%",10.5,"1,489,675","63.1%","56.8%","0.4%","5.5%","10.9%","2.5%","10.8%","3.7%","2.5%","9.0%","11.2%","26.2%","8.7%","4.7%","3.9%","1,358,809","5.8%","4.4%","9.0%","8.2%","12.4%","17.0%","13.3%","15.6%","6.7%","7.6%","(X)",NA,199666,"",19973392
"121",2014,"Illinois","Percent","10,084,990","66.3%","58.6%","7.6%","0.1%","33.7%",11.4,"5,199,926","61.0%","54.6%","1.1%","5.2%","12.3%","3.1%","11.0%","5.9%","2.1%","7.4%","11.1%","22.9%","9.0%","4.9%","4.1%","4,752,857","7.1%","4.9%","11.0%","10.2%","13.8%","18.4%","12.6%","12.9%","4.6%","4.4%","(X)",NA,802211,"",19973392
"122",2014,"Illinois","Estimate","10,084,990","6,683,498","5,911,495","763,068","8,935","3,401,492",NA,"5,199,926","3,173,930","2,838,127","62,673","308,197","725,504","181,722","650,127","347,754","125,870","438,352","654,913","1,356,136","530,659","289,864","239,724","4,752,857","339,702","234,469","522,016","483,895","657,381","872,772","600,787","615,233","219,026","207,576","52,972",72022,802211,"Above",19973392
"123",2014,"Alabama","Estimate","3,785,555","2,259,466","1,978,825","265,383","15,258","1,526,089",NA,"1,974,740","1,069,607","942,584","38,237","139,886","270,156","55,155","242,965","98,189","33,680","113,437","180,415","423,565","165,400","101,656","116,084","1,815,152","196,253","135,182","248,179","215,998","276,808","307,976","177,709","163,908","54,325","38,814","40,474",55778,302959,"Below",19973392
"124",2014,"Alabama","Percent","3,785,555","59.7%","52.3%","7.0%","0.4%","40.3%",11.8,"1,974,740","54.2%","47.7%","1.9%","7.1%","13.7%","2.8%","12.3%","5.0%","1.7%","5.7%","9.1%","21.4%","8.4%","5.1%","5.9%","1,815,152","10.8%","7.4%","13.7%","11.9%","15.2%","17.0%","9.8%","9.0%","3.0%","2.1%","(X)",NA,302959,"",19973392
"125",2014,"Nebraska","Estimate","1,419,846","1,005,630","935,104","65,779","4,747","414,216",NA,"724,474","480,949","453,966","41,216","56,187","93,719","26,945","108,253","54,858","18,424","72,320","78,524","228,470","73,724","42,997","39,467","719,304","44,781","46,499","84,478","85,410","108,015","145,425","91,778","76,034","20,312","16,572","48,408",61630,136091,"Below",19973392
"126",2014,"Nebraska","Percent","1,419,846","70.8%","65.9%","4.6%","0.3%","29.2%",6.6,"724,474","66.4%","62.7%","4.4%","6.0%","10.0%","2.9%","11.6%","5.9%","2.0%","7.7%","8.4%","24.4%","7.9%","4.6%","4.2%","719,304","6.2%","6.5%","11.7%","11.9%","15.0%","20.2%","12.8%","10.6%","2.8%","2.3%","(X)",NA,136091,"",19973392
"127",2014,"Indiana","Estimate","5,070,852","3,254,291","2,898,761","351,715","3,815","1,816,561",NA,"2,600,883","1,543,664","1,390,990","45,234","166,210","529,650","74,384","339,353","147,969","45,271","156,847","215,129","671,547","262,720","140,332","104,115","2,470,905","188,376","146,257","321,613","308,668","393,538","473,737","287,259","239,250","60,755","51,452","44,613",58451,426364,"Below",19973392
"128",2014,"Indiana","Percent","5,070,852","64.2%","57.2%","6.9%","0.1%","35.8%",10.8,"2,600,883","59.4%","53.5%","1.6%","5.7%","18.3%","2.6%","11.7%","5.1%","1.6%","5.4%","7.4%","23.2%","9.1%","4.8%","3.6%","2,470,905","7.6%","5.9%","13.0%","12.5%","15.9%","19.2%","11.6%","9.7%","2.5%","2.1%","(X)",NA,426364,"",19973392
"129",2014,"Alaska","Percent","546,981","71.6%","61.7%","6.6%","3.3%","28.4%",9.6,"262,474","65.6%","59.6%","5.2%","7.2%","4.5%","2.1%","10.9%","7.6%","1.9%","3.8%","7.3%","23.3%","9.0%","3.9%","13.3%","254,610","4.2%","4.6%","8.1%","8.9%","12.2%","19.1%","13.3%","18.0%","6.4%","5.1%","(X)",NA,31373,"",19973392
"130",2014,"Alaska","Estimate","546,981","391,864","337,683","36,020","18,161","155,117",NA,"262,474","172,202","156,353","17,519","24,162","15,169","7,105","36,856","25,614","6,404","12,977","24,732","78,618","30,483","13,104","44,940","254,610","10,654","11,818","20,729","22,768","31,180","48,616","33,925","45,846","16,204","12,870","64,576",81290,31373,"Above",19973392
"131",2014,"Nevada","Estimate","2,116,850","1,403,012","1,196,894","196,276","9,842","713,838",NA,"1,054,204","639,227","555,087","19,776","75,833","49,035","27,954","138,303","55,698","19,741","73,250","125,940","185,466","309,701","55,265","60,932","989,811","69,255","46,091","111,299","112,217","145,231","195,837","126,353","117,562","35,985","29,981","51,001",66630,116101,"Above",19973392
"132",2014,"Nevada","Percent","2,116,850","66.3%","56.5%","9.3%","0.5%","33.7%",14.1,"1,054,204","60.6%","52.7%","1.7%","6.3%","4.1%","2.3%","11.6%","4.7%","1.6%","6.1%","10.5%","15.5%","25.9%","4.6%","5.1%","989,811","7.0%","4.7%","11.2%","11.3%","14.7%","19.8%","12.8%","11.9%","3.6%","3.0%","(X)",NA,116101,"",19973392
"133",2014,"Iowa","Percent","2,409,078","68.6%","63.9%","4.6%","0.1%","31.4%",6.7,"1,229,740","64.2%","60.2%","4.2%","6.0%","14.2%","3.1%","11.6%","4.9%","2.0%","7.9%","6.7%","24.0%","7.6%","4.5%","3.3%","1,223,439","6.4%","5.8%","12.1%","11.7%","15.9%","20.4%","12.5%","10.3%","2.8%","2.1%","(X)",NA,275106,"",19973392
"134",2014,"Iowa","Estimate","2,409,078","1,653,217","1,540,038","111,463","1,716","755,861",NA,"1,229,740","789,846","740,055","64,169","93,041","218,316","48,128","178,794","75,440","30,104","121,712","103,115","369,715","117,517","68,704","51,283","1,223,439","78,330","70,892","147,678","142,866","194,745","250,148","153,171","126,075","34,160","25,374","47,961",60901,275106,"Below",19973392
"135",2014,"Arizona","Estimate","4,963,740","3,030,345","2,655,557","356,011","18,777","1,933,395",NA,"2,515,239","1,406,472","1,250,975","33,673","175,211","193,505","64,963","336,160","131,262","51,076","198,210","302,595","601,316","285,941","125,035","156,610","2,334,050","186,322","134,213","268,279","278,838","361,911","438,466","263,927","256,047","76,200","69,847","46,789",62838,650422,"Below",19973392
"136",2014,"Arizona","Percent","4,963,740","61.0%","53.5%","7.2%","0.4%","39.0%",11.8,"2,515,239","55.9%","49.7%","1.3%","6.6%","7.3%","2.4%","12.7%","4.9%","1.9%","7.5%","11.4%","22.6%","10.8%","4.7%","5.9%","2,334,050","8.0%","5.8%","11.5%","11.9%","15.5%","18.8%","11.3%","11.0%","3.3%","3.0%","(X)",NA,650422,"",19973392
"137",2014,"New Hampshire","Estimate","1,066,757","743,216","684,575","57,634","1,007","323,541",NA,"546,719","356,140","331,321","5,968","47,878","85,667","21,621","93,440","26,042","12,760","43,751","67,783","169,506","55,368","28,484","26,307","515,431","24,462","20,650","45,336","47,303","72,957","99,620","73,652","79,712","28,732","23,007","61,042",77323,123508,"Above",19973392
